username;date;retweets;favorites;text;geo;mentions;hashtags;id;"permalink
";location
LindaSuhler;2016-03-15 15:46;540;668;"""Don't push your luck, GOP. You haven't seen us mad. YET. VOTE #Trump2016 #MakeAmericaGreatAgain pic.twitter.com/ZytEBjbcUD""";;;#Trump2016 #MakeAmericaGreatAgain;"""709873413209374721""";"https://twitter.com/LindaSuhler/status/709873413209374721
";
robertscott3;2016-03-15 14:26;44;75;"""Ohio exit polls out which are good for us. But who cares! Only one poll matters... Ohio go vote for @realDonaldTrump #MakeAmericaGreatAgain""";Columbus, OH;@realDonaldTrump;#MakeAmericaGreatAgain;"""709853176107630592""";"https://twitter.com/robertscott3/status/709853176107630592
"
Jay_heisman4;2016-03-15 14:09;70;133;"""just voted for trump #MakeAmericaGreatAgain pic.twitter.com/cU39q97ta4""";w/zoey;;#MakeAmericaGreatAgain;"""709849111801925632""";"https://twitter.com/Jay_heisman4/status/709849111801925632
";(13.095723, -86.0017007)
P0TUSTrump;2016-03-15 13:59;124;176;"""If you are from Ohio or know someone from Ohio, CONTACT THEM THIS VERY SECOND & TELL THEM TO VOTE FOR TRUMP! #MakeAmericaGreatAgain""";New York, USA;;#MakeAmericaGreatAgain;"""709846486201151488""";"https://twitter.com/P0TUSTrump/status/709846486201151488
";(40.7305991, -73.9865811)
keksec__org;2016-03-15 12:11;179;504;"""@realDonaldTrump I haven't seen anyone carry themselves so Presidential since Reagan. #MakeAmericaGreatAgain pic.twitter.com/1OLCdkv8L3""";Everywhere;@realDonaldTrump;#MakeAmericaGreatAgain;"""709819260839841792""";"https://twitter.com/keksec__org/status/709819260839841792
";(53.8756494, 27.5301015)
Rockprincess818;2016-03-15 12:07;220;284;"""Women Trump. Deal with it. #MakeAmericaGreatAgain pic.twitter.com/VxvbGltoPA""";Los Angeles, CA;;#MakeAmericaGreatAgain;"""709818347966177280""";"https://twitter.com/Rockprincess818/status/709818347966177280
"
EricTrump;2016-03-15 10:59;1550;2918;"""At this point a vote for Kasich is a vote for a brokered convention. Let's turn our attention to Hillary. #MakeAmericaGreatAgain #Trump2016""";;;#MakeAmericaGreatAgain #Trump2016;"""709801145556869120""";"https://twitter.com/EricTrump/status/709801145556869120
";
LindaSuhler;2016-03-15 09:46;240;180;"""Copy & share this with everyone! And VOTE #Trump2016 #MakeAmericaGreatAgain http:// tinyurl.com/zsuykcx pic.twitter.com/1sr8wU1uQE""";God Bless America!;;#Trump2016 #MakeAmericaGreatAgain;"""709782794776371201""";"https://twitter.com/LindaSuhler/status/709782794776371201
";(40.40383, -77.9464459)
JohnGGalt;2016-03-15 09:43;113;122;"""Don't forgetTed Cruz is a Canadian who was naturally born in Canada . #SuperTuesday #MakeAmericaGreatAgain pic.twitter.com/piH63xM73O""";5,208—14,203 feet, Colorado;;#SuperTuesday #MakeAmericaGreatAgain;"""709782152515178496""";"https://twitter.com/JohnGGalt/status/709782152515178496
";
KatrinaPierson;2016-03-15 08:20;669;1123;"""You know it's bad when Reps are doing the work for GEORGE SOROS. But, that's ok because @realDonaldTrump is about to #MakeAmericaGreatAgain""";New York, USA;@realDonaldTrump;#MakeAmericaGreatAgain;"""709761235588239361""";"https://twitter.com/KatrinaPierson/status/709761235588239361
";(40.7305991, -73.9865811)
WeNeedTrump;2016-03-15 07:56;107;143;"""Bring home the win today, Ohio and Florida!! #MakeAmericaGreatAgain pic.twitter.com/YsPbsLWaXl""";America;;#MakeAmericaGreatAgain;"""709755173044883456""";"https://twitter.com/WeNeedTrump/status/709755173044883456
";(51.44770365, 5.96606928205559)
EricTrump;2016-03-15 06:10;3705;9953;"""Friends in #FL #OH #NC #IL & #MO we would be honored to have your #VOTE ! #SuperTuesday #LetsDoThis #MakeAmericaGreatAgain #TrumpTrain""";;;#FL #OH #NC #IL #MO #VOTE #SuperTuesday #LetsDoThis #MakeAmericaGreatAgain #TrumpTrain;"""709728535720628224""";"https://twitter.com/EricTrump/status/709728535720628224
";
EricTrump;2016-03-15 05:59;561;1649;"""Loved being on @foxandfriends with @AnnaKooiman and my amazing wife @LaraLeaTrump ! Let's #MakeAmericaGreatAgain pic.twitter.com/LiyMlZS1D6""";;@foxandfriends @AnnaKooiman @LaraLeaTrump;#MakeAmericaGreatAgain;"""709725603168178176""";"https://twitter.com/EricTrump/status/709725603168178176
";
keksec__org;2016-03-15 05:38;145;409;"""@realDonaldTrump I really really really really really really really really like you #MakeAmericaGreatAgain pic.twitter.com/LTaKjVVPeY""";Everywhere;@realDonaldTrump;#MakeAmericaGreatAgain;"""709720463992295424""";"https://twitter.com/keksec__org/status/709720463992295424
";(53.8756494, 27.5301015)
KatrinaPierson;2016-03-15 04:26;367;571;"""These Reaganites forget the actual history of Reagan. @realDonaldTrump is only 1 that will #MakeAmericaGreatAgain https:// twitter.com/realDonaldTrum p/status/709547482615816192 """;New York, USA;@realDonaldTrump;#MakeAmericaGreatAgain;"""709702410629844992""";"https://twitter.com/KatrinaPierson/status/709702410629844992
";(40.7305991, -73.9865811)
krautsider;2016-03-15 02:59;88;168;""". @SarahPalinUSA you want to #MakeAmericaGreatAgain but you don't even know what the 1st amendment is about pic.twitter.com/DdshNpr7EP""";Germany;@SarahPalinUSA;#MakeAmericaGreatAgain;"""709680466568331264""";"https://twitter.com/krautsider/status/709680466568331264
";(51.0834196, 10.4234469)
AmyMek;2016-03-14 21:42;178;232;"""@KamVTV Don't you worry Trump is bringing Lady Liberty Back #MakeAmericaGreatAgain pic.twitter.com/cdzpB3niLA""";;@KamVTV;#MakeAmericaGreatAgain;"""709600534756507649""";"https://twitter.com/AmyMek/status/709600534756507649
";
rumfolo;2016-03-14 20:52;288;342;"""Let's roll! We need you to vote for @realDonaldTrump and #MakeAmericaGreatAgain ! pic.twitter.com/GJEFKBBWE2""";Spring Texas;@realDonaldTrump;#MakeAmericaGreatAgain;"""709588062141939713""";"https://twitter.com/rumfolo/status/709588062141939713
";(30.0798826, -95.4172548)
P0TUSTrump;2016-03-14 19:30;207;285;"""March 15th will be a day that goes down in American history! When WE STOOD UP FOR OUR RIGHTS! #MakeAmericaGreatAgain pic.twitter.com/hIrogg8P7L""";New York, USA;;#MakeAmericaGreatAgain;"""709567530524758016""";"https://twitter.com/P0TUSTrump/status/709567530524758016
";(40.7305991, -73.9865811)
P0TUSTrump;2016-03-14 19:09;203;327;"""We're going to win in a BIG way tomorrow. I have a GREAT feeling! God Bless you and God Bless the U.S.A.!!!! #MakeAmericaGreatAgain""";New York, USA;;#MakeAmericaGreatAgain;"""709562203465093120""";"https://twitter.com/P0TUSTrump/status/709562203465093120
";(40.7305991, -73.9865811)
DanScavino;2016-03-14 19:00;1081;1677;"""""The same people who said that I would never run- are now asking how to stop me."" @realDonaldTrump #VoteTrump #MakeAmericaGreatAgain""";Manhattan, NY;@realDonaldTrump;#VoteTrump #MakeAmericaGreatAgain;"""709559935701540864""";"https://twitter.com/DanScavino/status/709559935701540864
";(40.7902778, -73.9597221)
realDonaldTrump;2016-03-14 18:11;13274;22853;"""Sadly, this kind of stuff even happened to Ronald Reagan. There is nothing nice about it! #MakeAmericaGreatAgain pic.twitter.com/jC7cn1v18u""";New York, NY;;#MakeAmericaGreatAgain;"""709547482615816192""";"https://twitter.com/realDonaldTrump/status/709547482615816192
";(40.7305991, -73.9865811)
trump_world;2016-03-14 14:50;8;7;"""""MERKEL PAYS PRICE OF OPEN BORDERS "" @realDonaldTrump #Trump2016 #MakeAmericaGreatAgain #Trump #Yuge http:// ow.ly/ZqEfA""";Manhattan, New York;@realDonaldTrump;#Trump2016 #MakeAmericaGreatAgain #Trump #Yuge;"""709496928996892672""";"https://twitter.com/trump_world/status/709496928996892672
";(40.7902778, -73.9597221)
